Region,Category,Sub-Category,Sales,Profit,Mean_line_discount,Margin_pct
Central,Furniture,Bookcases,24157.1768,-1997.9043,0.2328,-8.270437876664461
Central,Furniture,Chairs,85230.64600000001,6592.7221,0.19285714285714287,7.7351544419832265
Central,Furniture,Furnishings,15254.37,-3906.2168,0.4039024390243902,-25.607198461817823
Central,Furniture,Tables,39154.971,-3559.6504,0.26249999999999996,-9.091183849938236
Central,Office Supplies,Appliances,23582.033,-2638.6175000000003,0.44878048780487806,-11.18910104145813
Central,Office Supplies,Art,5765.34,1195.1591,0.12272727272727274,20.730071426836925
Central,Office Supplies,Binders,56923.282,-1043.6369000000004,0.5092896174863388,-1.833409570446062
Central,Office Supplies,Envelopes,4636.872,1777.5283,0.1288135593220339,38.33464240548369
Central,Office Supplies,Fasteners,778.03,236.6186,0.13454545454545455,30.41252907985553
Central,Office Supplies,Labels,2451.4719999999998,1073.0794,0.1131578947368421,43.77285973488582
Central,Office Supplies,Paper,17491.902,6971.9005,0.12897196261682245,39.85787537570243
Central,Office Supplies,Storage,45930.112,1969.8365,0.12380952380952381,4.288769206571932
Central,Office Supplies,Supplies,9467.372000000001,-661.8881,0.14444444444444446,-6.991254806508078
Central,Technology,Accessories,33956.076,7251.6306,0.12459016393442623,21.355914623350472
Central,Technology,Copiers,37259.57,15608.8413,0.1125,41.89216703252345
Central,Technology,Machines,26797.384000000002,-1486.0666,0.32857142857142857,-5.545565940317159
Central,Technology,Phones,72403.282,12323.0267,0.12200000000000001,17.019983569253114
East,Furniture,Bookcases,43819.334,-1167.6318,0.22,-2.6646498096023095
East,Furniture,Chairs,96260.683,9357.7706,0.1505952380952381,9.721280078596575
East,Furniture,Furnishings,29071.38,5881.4071,0.07773851590106007,20.230918174507025
East,Furniture,Tables,39139.807,-11025.3801,0.37375,-28.169224493110043
East,Office Supplies,Appliances,34188.466,8391.4134,0.07301587301587302,24.54457418475576
East,Office Supplies,Art,7485.764,1899.9443,0.0692982456140351,25.38076674605291
East,Office Supplies,Binders,53497.996999999996,11267.9346,0.3534090909090909,21.062348558582485
