region,category,subcategory,sales,profit,margin_pct,lines,sales_weighted_discount_pct,sales_share_discount_ge_30_pct
Central,ALL,ALL,501239.8908000005,39706.36249999998,7.921628591177552,2323,15.51904879155717,25.76293331201081
Central,Furniture,Bookcases,24157.176799999994,-1997.9043,-8.270437876664463,50,24.51741884010221,77.72496329124023
Central,Furniture,Chairs,85230.64599999995,6592.722100000004,7.735154441983235,154,14.47916727042056,48.26389090140185
Central,Furniture,Furnishings,15254.369999999986,-3906.216800000001,-25.607198461817855,205,26.135592620344234,43.55932103390706
Central,Furniture,Tables,39154.971,-3559.650399999999,-9.091183849938234,72,20.440656947492055,56.9821160128046
Central,Office Supplies,Appliances,23582.03299999999,-2638.6175000000007,-11.189101041458139,123,13.308615504015284,14.343691233067151
Central,Office Supplies,Art,5765.340000000002,1195.1590999999992,20.730071426836904,176,11.446193979886697,0.0
Central,Office Supplies,Binders,56923.28200000003,-1043.6369000000018,-1.8334095704460633,366,19.087054045829596,23.85881755728698
Central,Office Supplies,Envelopes,4636.872000000001,1777.5283000000002,38.33464240548369,59,12.57206151043203,0.0
Central,Office Supplies,Fasteners,778.0300000000003,236.61859999999996,30.412529079855517,55,12.179478940400749,0.0
Central,Office Supplies,Labels,2451.472,1073.0794000000003,43.77285973488583,76,6.59580855910245,0.0
Central,Office Supplies,Paper,17491.902000000002,6971.900499999994,39.85787537570239,321,11.93611992566618,0.0
Central,Office Supplies,Storage,45930.11200000004,1969.8365000000003,4.28876920657193,210,10.800719144773689,0.0
Central,Office Supplies,Supplies,9467.372000000001,-661.8881,-6.991254806508078,36,9.918089201522871,0.0
Central,Technology,Accessories,33956.07600000001,7251.630600000002,21.355914623350472,183,9.932982833469918,0.0
Central,Technology,Copiers,37259.57,15608.841300000002,41.89216703252346,16,6.204988409689108,0.0
Central,Technology,Machines,26797.384000000005,-1486.0666,-5.545565940317158,21,34.65441477421826,86.95822323552179
Central,Technology,Phones,72403.28199999998,12323.02670000001,17.019983569253135,200,12.530192208690215,0.0
West,ALL,ALL,725457.8245000006,108418.44890000018,14.944831420727214,3203,12.875548677054748,2.3500554304104804
West,Furniture,Bookcases,36004.123500000016,-1646.5117000000002,-4.57311979834754,80,16.262986168792576,6.83083425152677
West,Furniture,Chairs,101781.32799999989,4027.5843,3.9570954507490845,207,20.000000000000025,0.0
West,Furniture,Furnishings,30072.729999999978,7641.2703999999985,25.409300718624493,304,3.283825578854999,0.0
West,Furniture,Tables,84754.56199999998,1482.6073000000004,1.749294981903158,116,14.923345837124382,8.405848407310513
West,Office Supplies,Appliances,30236.33599999999,8261.2699,27.32232470230521,136,1.7710452747978465,0.0
West,Office Supplies,Art,9212.066000000003,2374.0969999999998,25.771602157431342,250,4.475729982829041,0.0
West,Office Supplies,Binders,55961.11300000001,16096.801600000013,28.764262783694114,471,22.658439799079755,5.316879598159528
West,Office Supplies,Envelopes,4118.100000000001,1908.7624000000003,46.35055972414462,67,1.6494985551589318,0.0
West,Office Supplies,Fasteners,923.2160000000001,275.19070000000005,29.80783478622554,72,3.5912722483145876,0.0
West,Office Supplies,Labels,5078.726000000001,2303.1222999999995,45.34842596351918,116,3.7313924791374844,0.0
West,Office Supplies,Paper,26663.717999999983,12119.23639999999,45.45216237285437,450,3.208350763385664,0.0
West,Office Supplies,Storage,70532.85199999998,8645.322199999993,12.257156707628942,266,2.25956324579077,0.0
West,Office Supplies,Supplies,18127.121999999992,626.0464999999998,3.4536453166696846,69,1.944789691380685,0.0
West,Technology,Accessories,61114.11600000002,16484.598300000005,26.97347090809593,258,2.239893644211428,0.0
West,Technology,Copiers,49749.242,19327.2351,38.84930568389364,25,10.050208202167184,0.0
West,Technology,Machines,42444.122,-618.9264000000002,-1.4582146380598946,39,25.28878180116437,10.577563602328727
West,Technology,Phones,98684.35200000001,9110.742600000012,9.232205932709585,277,20.0,0.0
